sample,frac,seed,method,P,R,F1,F1_oracle
PU-coverrear_Lp,0.15,19,SOR,1.0,0.38333333333333336,0.5542168674698795,0.7800154918667699
PU-coverrear_Lp,0.15,19,LOF,1.0,0.15266666666666667,0.264893001735107,0.7307847082494969
PU-coverrear_Lp,0.15,101,Calibrated,1.0,0.3913333333333333,0.5625299472927647,0.7761425251742835
PU-coverrear_Lp,0.15,101,SOR,1.0,0.41133333333333333,0.5829003306565895,0.7831138652207592
PU-coverrear_Lp,0.15,101,LOF,1.0,0.13533333333333333,0.2384028185554903,0.7180561374109761
PU-cow,0.05,7,Calibrated,1.0,0.75,0.8571428571428571,0.8942408376963351
PU-cow,0.05,7,SOR,1.0,0.672,0.8038277511961722,0.9089005235602095
PU-cow,0.05,7,LOF,1.0,0.662,0.7966305655836342,0.8523560209424085
PU-cow,0.05,19,Calibrated,1.0,0.706,0.8276670574443141,0.8732984293193717
PU-cow,0.05,19,SOR,1.0,0.654,0.7908101571946796,0.887958115183246
PU-cow,0.05,19,LOF,1.0,0.618,0.7639060568603214,0.8314087759815242
PU-cow,0.05,101,Calibrated,1.0,0.742,0.851894374282434,0.8858638743455498
PU-cow,0.05,101,SOR,1.0,0.654,0.7908101571946796,0.9214659685863875
PU-cow,0.05,101,LOF,1.0,0.648,0.7864077669902912,0.8383371824480369
PU-cow,0.15,7,Calibrated,1.0,0.5306666666666666,0.6933797909407665,0.8796102992345163
PU-cow,0.15,7,SOR,1.0,0.592,0.743718592964824,0.914985590778098
PU-cow,0.15,7,LOF,1.0,0.4766666666666667,0.6455981941309256,0.8144830160507653
PU-cow,0.15,19,Calibrated,1.0,0.49266666666666664,0.6601161232693167,0.8731988472622478
PU-cow,0.15,19,SOR,1.0,0.5726666666666667,0.728274692666384,0.9099423631123918
PU-cow,0.15,19,LOF,1.0,0.44733333333333336,0.6181483187471212,0.7982708933717579
PU-cow,0.15,101,Calibrated,1.0,0.528,0.6910994764397906,0.8731988472622478
PU-cow,0.15,101,SOR,1.0,0.5633333333333334,0.720682302771855,0.9144050104384134
PU-cow,0.15,101,LOF,1.0,0.48133333333333334,0.6498649864986499,0.8212019410227697
PU-duck,0.05,7,Calibrated,1.0,0.88,0.9361702127659575,0.9361256544502617
PU-duck,0.05,7,SOR,1.0,0.68,0.8095238095238095,0.9361256544502617
PU-duck,0.05,7,LOF,1.0,0.664,0.798076923076923,0.9172774869109948
PU-duck,0.05,19,Calibrated,1.0,0.886,0.9395546129374337,0.944502617801047
PU-duck,0.05,19,SOR,1.0,0.676,0.8066825775656324,0.9424083769633509
PU-duck,0.05,19,LOF,1.0,0.61,0.7577639751552795,0.9382198952879582
PU-duck,0.05,101,Calibrated,1.0,0.86,0.924731182795699,0.9382198952879582
PU-duck,0.05,101,SOR,1.0,0.692,0.817966903073286,0.9340314136125655
PU-duck,0.05,101,LOF,1.0,0.664,0.798076923076923,0.8712041884816754
PU-duck,0.15,7,Calibrated,1.0,0.7806666666666666,0.8768251591164358,0.9345859429366736
PU-duck,0.15,7,SOR,1.0,0.6093333333333333,0.7572493786246892,0.9478079331941545
PU-duck,0.15,7,LOF,1.0,0.42133333333333334,0.5928705440900562,0.8854466858789626
PU-duck,0.15,19,Calibrated,1.0,0.786,0.8801791713325868,0.9366736256089073
PU-duck,0.15,19,SOR,1.0,0.6006666666666667,0.7505206164098293,0.9498956158663884
PU-duck,0.15,19,LOF,1.0,0.41133333333333333,0.5829003306565895,0.8746397694524496
PU-duck,0.15,101,Calibrated,1.0,0.796,0.8864142538975501,0.9401530967292971
PU-duck,0.15,101,SOR,1.0,0.5993333333333334,0.7494789495623176,0.9519832985386222
PU-duck,0.15,101,LOF,1.0,0.43933333333333335,0.6104678091709125,0.8667413213885777
PU-eight,0.05,7,Calibrated,1.0,0.694,0.819362455726092,0.8429561200923789
PU-eight,0.05,7,SOR,1.0,0.56,0.717948717948718,0.8523560209424085
PU-eight,0.05,7,LOF,1.0,0.576,0.730964467005076,0.8452655889145496
PU-eight,0.05,19,Calibrated,1.0,0.668,0.8009592326139089,0.836027713625866
PU-eight,0.05,19,SOR,1.0,0.544,0.7046632124352332,0.8429561200923789
PU-eight,0.05,19,LOF,1.0,0.536,0.6979166666666667,0.8406466512702079
PU-eight,0.05,101,Calibrated,1.0,0.694,0.819362455726092,0.836027713625866
PU-eight,0.05,101,SOR,1.0,0.568,0.7244897959183673,0.8406466512702079
PU-eight,0.05,101,LOF,1.0,0.582,0.7357774968394437,0.8452655889145496
PU-eight,0.15,7,Calibrated,1.0,0.5346666666666666,0.6967854039965248,0.8508645533141211
PU-eight,0.15,7,SOR,1.0,0.4706666666666667,0.6400725294650952,0.882564841498559
PU-eight,0.15,7,LOF,1.0,0.39066666666666666,0.5618408437200383,0.8622620380739081
PU-eight,0.15,19,Calibrated,1.0,0.5233333333333333,0.687089715536105,0.8428518103770063
PU-eight,0.15,19,SOR,1.0,0.44733333333333336,0.6181483187471212,0.8652482269503545
PU-eight,0.15,19,LOF,1.0,0.428,0.5994397759103641,0.854796565882792
PU-eight,0.15,101,Calibrated,1.0,0.5153333333333333,0.6801583809942806,0.835014409221902
PU-eight,0.15,101,SOR,1.0,0.45466666666666666,0.6251145737855178,0.8638328530259367
PU-eight,0.15,101,LOF,1.0,0.40066666666666667,0.5721085197524988,0.8495707353490108
PU-elephant,0.05,7,Calibrated,1.0,0.858,0.9235737351991388,0.9486910994764397
PU-elephant,0.05,7,SOR,1.0,0.766,0.8674971687429218,0.9528795811518325
PU-elephant,0.05,7,LOF,1.0,0.608,0.7562189054726367,0.8732984293193717
PU-elephant,0.05,19,Calibrated,1.0,0.862,0.9258861439312567,0.944502617801047
PU-elephant,0.05,19,SOR,1.0,0.782,0.877665544332211,0.9528795811518325
PU-elephant,0.05,19,LOF,1.0,0.614,0.7608426270136308,0.8439790575916231
PU-elephant,0.05,101,Calibrated,1.0,0.838,0.9118607181719259,0.9340314136125655
PU-elephant,0.05,101,SOR,1.0,0.758,0.8623435722411832,0.9465968586387435
PU-elephant,0.05,101,LOF,1.0,0.574,0.7293519695044473,0.8290993071593533
PU-elephant,0.15,7,Calibrated,1.0,0.6313333333333333,0.7740089906007356,0.9255393180236604
PU-elephant,0.15,7,SOR,1.0,0.6993333333333334,0.8230678697528443,0.9554627696590118
PU-elephant,0.15,7,LOF,1.0,0.36333333333333334,0.5330073349633252,0.7458006718924971
PU-elephant,0.15,19,Calibrated,1.0,0.6166666666666667,0.7628865979381444,0.9255393180236604
PU-elephant,0.15,19,SOR,1.0,0.7126666666666667,0.8322304398598676,0.9561586638830899
PU-elephant,0.15,19,LOF,1.0,0.356,0.5250737463126844,0.7428350116189001
PU-elephant,0.15,101,Calibrated,1.0,0.6133333333333333,0.7603305785123966,0.9297146833681281
PU-elephant,0.15,101,SOR,1.0,0.702,0.8249118683901292,0.953375086986778
PU-elephant,0.15,101,LOF,1.0,0.36933333333333335,0.5394352482960079,0.7552285050348567
PU-elk,0.05,7,Calibrated,1.0,0.874,0.9327641408751334,0.9486910994764397
PU-elk,0.05,7,SOR,1.0,0.732,0.8452655889145496,0.9486910994764397
PU-elk,0.05,7,LOF,1.0,0.644,0.7834549878345498,0.8649214659685863
PU-elk,0.05,19,Calibrated,1.0,0.856,0.9224137931034483,0.9486910994764397
PU-elk,0.05,19,SOR,1.0,0.734,0.8465974625144175,0.9465968586387435
PU-elk,0.05,19,LOF,1.0,0.608,0.7562189054726367,0.8670157068062826
PU-elk,0.05,101,Calibrated,1.0,0.856,0.9224137931034483,0.9465968586387435
