shape,sigma,noise,seed,method,overall,near,smooth,time
ridge90,1.0,laplace,101,GLR,28.421492376944514,21.585661630496734,28.779135779447607,0.6162083148956299
ridge90,1.0,laplace,101,Prior-v1,6.112129173964453,4.548830048823049,6.190677900421004,4.518082618713379
ridge90,1.0,laplace,101,Prior-v2,34.02360836099627,26.667266933547594,34.41159467800641,4.565741777420044
ridge90,1.0,outlier,7,Bilateral,3.8008635779528066,2.8904789218656357,3.8485229985958047,0.7157154083251953
ridge90,1.0,outlier,7,MLS,10.246597630495147,7.697294498513518,10.381381565887636,0.567760705947876
ridge90,1.0,outlier,7,GLR,13.97299123770146,9.873966816293478,14.191880673759783,0.636857271194458
ridge90,1.0,outlier,7,Prior-v1,2.6245312775574514,1.8899688213393717,2.6629475742631192,4.513089418411255
ridge90,1.0,outlier,7,Prior-v2,14.867503246204695,11.923356635655868,15.023663128153974,4.5354392528533936
ridge90,1.0,outlier,19,Bilateral,3.530470784091888,2.9633434830145577,3.55925042232359,0.7132987976074219
ridge90,1.0,outlier,19,MLS,9.432603337747537,8.276473813156205,9.491484469121902,0.576988697052002
ridge90,1.0,outlier,19,GLR,12.90855542566296,11.415639302508861,12.984762837977238,0.6367058753967285
ridge90,1.0,outlier,19,Prior-v1,2.465137737167389,1.7491905681539799,2.501497267096542,4.515408277511597
ridge90,1.0,outlier,19,Prior-v2,13.595084677762747,11.532618971312814,13.700734845551189,4.576878786087036
ridge90,1.0,outlier,101,Bilateral,3.8102872672446386,3.207727480569711,3.8433759887410934,0.7173740863800049
ridge90,1.0,outlier,101,MLS,10.28718868647125,8.367330443251308,10.393455026036024,0.5977985858917236
ridge90,1.0,outlier,101,GLR,14.137363375076673,11.411101911757616,14.289082015517529,0.6457908153533936
ridge90,1.0,outlier,101,Prior-v1,2.686413305980062,2.072033513599103,2.7201519780510997,4.620486736297607
ridge90,1.0,outlier,101,Prior-v2,15.73848268139918,13.559596764988113,15.859367638352973,4.762982606887817
ridge120,0.5,gauss,7,Bilateral,13.038698975263252,12.17085672083874,13.094887545774569,0.6920251846313477
ridge120,0.5,gauss,7,MLS,34.03599750778113,31.35877451538026,34.21215249893521,0.5632157325744629
ridge120,0.5,gauss,7,GLR,45.13918325322095,39.751594435611814,45.50441249511499,0.6046743392944336
ridge120,0.5,gauss,7,Prior-v1,12.017144084330623,11.572909000251686,12.045831001604036,4.723817825317383
ridge120,0.5,gauss,7,Prior-v2,47.355005182962,38.527603239239724,47.9748272296363,4.73634147644043
ridge120,0.5,gauss,19,Bilateral,13.288248717412788,11.580876989917755,13.415151729539321,0.7179670333862305
ridge120,0.5,gauss,19,MLS,34.49530142195616,30.49217706349826,34.79942577096988,0.5746996402740479
ridge120,0.5,gauss,19,GLR,45.7370820175675,40.04877680758984,46.17917494075237,0.6212403774261475
ridge120,0.5,gauss,19,Prior-v1,12.212051828696035,10.622107339338182,12.330127491159004,4.759912490844727
ridge120,0.5,gauss,19,Prior-v2,47.07854015946553,38.84717621500104,47.735095411247876,4.68187403678894
ridge120,0.5,gauss,101,Bilateral,13.297271857242531,12.938489589792034,13.32013081587904,0.7128984928131104
ridge120,0.5,gauss,101,MLS,34.42693637617814,32.37565372709662,34.559515655194815,0.5619118213653564
ridge120,0.5,gauss,101,GLR,45.4486297065287,40.679660761501545,45.76598104877677,0.6164858341217041
ridge120,0.5,gauss,101,Prior-v1,12.146251236767181,11.702819967985011,12.174517044647825,4.7431089878082275
ridge120,0.5,gauss,101,Prior-v2,46.78139826357495,37.49520744499096,47.427169721088006,4.788372755050659
ridge120,1.0,gauss,7,Bilateral,6.99151821725974,6.960096508452674,6.993488537683723,0.714543342590332
ridge120,1.0,gauss,7,MLS,20.33845359284866,20.30739497932743,20.340401198976966,0.5645637512207031
