regime,scene,tag,method,n,raw_rmse_cm,dRMSE,dMAE,disp_med_mm,disp_p95_mm,disp_med_sig,disp_med_ell,sigma_g_mm,ell_mm
iphone-fused,25f3b7a318,crop,Prior-v2,10000,2.058985545794089,1.9630270730367716,2.889109084003394,1.1340567876853926,5.701025614237817,0.1835870741979418,0.07684373084208897,6.177214776455757,14.75796106176825
iphone-frame,25f3b7a318,frame_000000.jpg,Bilateral,12288,1.4286506892879787,-0.12757630144417664,-0.2487838462466918,0.17434858551213667,1.1595385900598045,0.3828016410980158,0.02046883118977283,0.455454121432811,8.517759703777342
iphone-frame,25f3b7a318,frame_000000.jpg,MLS,12288,1.4286506892879787,-0.5430187944834852,-0.8621288904062441,0.3824718452766576,3.194507833221439,0.8397593224838582,0.04490286865713542,0.455454121432811,8.517759703777342
iphone-frame,25f3b7a318,frame_000000.jpg,GLR,12288,1.4286506892879787,-1.0067927670569743,-1.450136108748623,0.48780225019274454,4.459306985608446,1.071023899371348,0.057268843815722066,0.455454121432811,8.517759703777342
iphone-frame,25f3b7a318,frame_000000.jpg,Prior-v2,12288,1.4286506892879787,0.010955884781282954,0.01319189126293141,0.011301750635365612,0.20565249592459042,0.024814245999129923,0.0013268454414165753,0.455454121432811,8.517759703777342
iphone-frame,25f3b7a318,frame_001050.jpg,Bilateral,12288,1.8230360239114525,0.06218905823112131,0.005524244634724784,0.2117808277984294,1.3388130068451203,0.37621130764990035,0.031587304708072125,0.5629305210020425,6.704618508103402
iphone-frame,25f3b7a318,frame_001050.jpg,MLS,12288,1.8230360239114525,0.03876897313872529,-0.10726612819318415,0.49385727644828503,3.334679955586312,0.8772970324861745,0.07365926574013645,0.5629305210020425,6.704618508103402
iphone-frame,25f3b7a318,frame_001050.jpg,GLR,12288,1.8230360239114525,-0.030922962709034607,-0.2665006619184451,0.6780007792923711,4.9722959566433795,1.2044128942965915,0.1011244380827626,0.5629305210020425,6.704618508103402
iphone-frame,25f3b7a318,frame_001050.jpg,Prior-v2,12288,1.8230360239114525,0.010352068902863554,0.010973240244482874,0.0026411494076756794,0.2959145041562531,0.004691785761202865,0.00039392985657417753,0.5629305210020425,6.704618508103402
iphone-frame,25f3b7a318,frame_002020.jpg,Bilateral,12288,4.2891144128589795,0.10233686199552228,0.06025069269963712,0.17544099097076343,2.238741445474391,0.3595833809701424,0.01541092954781072,0.4879007203776962,11.384192654379872
iphone-frame,25f3b7a318,frame_002020.jpg,MLS,12288,4.2891144128589795,0.23137814050900873,0.046714022707194935,0.3842564070294848,5.652741330353512,0.7875708934072722,0.03375350529120704,0.4879007203776962,11.384192654379872
